"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4449","Test - 1","mobile","Wed Jun 11 19:02:51 CEST 2025","passed","Wed Jun 11 19:02:56 CEST 2025","Test Suite","day15\03-mobile-testing.spec.ts","",""
"","3202","Test - 1","chromium","Wed Jun 11 19:02:47 CEST 2025","passed","Wed Jun 11 19:02:50 CEST 2025","Test Suite","day15\03-mobile-testing.spec.ts","",""
